,Year,Violent Crime Rate,Property Crime Rate
0,1996,636.6,4451.0
0,1997,611.0,4316.3
0,1998,567.6,4052.5
0,1999,523.0,3743.6
0,2000,506.5,3618.3
0,2001,504.5,3658.1
0,2002,494.4,3630.6
0,2003,475.8,3591.2
0,2004,463.2,3514.1
0,2005,469.0,3431.5
0,2006,479.3,3346.6
