,Year,Violent Crime Rate,Property Crime Rate
0,1975,487.8,4810.7
0,1976,467.8,4819.5
0,1977,475.9,4601.7
0,1978,497.8,4642.5
0,1979,548.9,5016.6
0,1980,596.6,5353.3
0,1981,593.5,5256.5
0,1982,570.8,5029.7
0,1983,538.1,4641.1
0,1984,539.9,4498.5
0,1985,558.1,4666.4
