,Year,Violent Crime Rate,Property Crime Rate
0,2003,475.8,3591.2
0,2004,463.2,3514.1
0,2005,469.0,3431.5
0,2006,479.3,3346.6
0,2007,471.8,3276.4
0,2008,458.6,3214.6
0,2009,431.9,3041.3
0,2010,404.5,2945.9
0,2011,387.1,2905.4
0,2012,387.8,2868.0
0,2013,387.8,2868.0
